DTXSID	cv_fold
DTXSID0028038	fold2
DTXSID0032520	fold3
DTXSID0032572	fold1
DTXSID0032655	fold0
DTXSID0034192	fold0
DTXSID1020510	fold4
DTXSID1020560	fold3
DTXSID1020770	fold3
DTXSID1021322	fold0
DTXSID1021952	fold3
DTXSID1023998	fold1
DTXSID1024259	fold1
DTXSID1026081	fold4
DTXSID1032648	fold3
DTXSID1033664	fold0
DTXSID1034187	fold2
DTXSID1047310	fold3
DTXSID2020347	fold1
DTXSID2020420	fold3
DTXSID2021781	fold0
DTXSID2022381	fold3
DTXSID2023270	fold0
DTXSID2023569	fold2
DTXSID2024163	fold0
DTXSID2025680	fold3
DTXSID2032390	fold2
DTXSID2032500	fold2
DTXSID3020205	fold0
DTXSID3020465	fold3
DTXSID3020625	fold0
DTXSID3021770	fold4
DTXSID3021986	fold0
DTXSID3022320	fold4
DTXSID3022536	fold1
DTXSID3024154	fold3
DTXSID3024239	fold4
DTXSID3027403	fold0
DTXSID3031864	fold1
DTXSID3036496	fold0
DTXSID3047477	fold0
DTXSID4020373	fold2
DTXSID4020375	fold2
DTXSID4021395	fold1
DTXSID4022361	fold2
DTXSID4022367	fold0
DTXSID4022448	fold4
DTXSID4022525	fold3
DTXSID4024270	fold2
DTXSID4024276	fold4
DTXSID4025082	fold0
DTXSID4032613	fold1
DTXSID4034497	fold0
DTXSID5020154	fold4
DTXSID5020366	fold4
DTXSID5020576	fold0
DTXSID5020607	fold3
DTXSID5024211	fold0
DTXSID5031131	fold0
DTXSID5032498	fold4
DTXSID5032573	fold3
DTXSID5035957	fold1
DTXSID5041306	fold3
DTXSID6020220	fold4
DTXSID6022345	fold2
DTXSID6032352	fold1
DTXSID6032562	fold3
DTXSID6034186	fold0
DTXSID7020182	fold1
DTXSID7032004	fold4
DTXSID7032638	fold4
DTXSID7037717	fold1
DTXSID7041544	fold4
DTXSID7047433	fold0
DTXSID8020337	fold2
DTXSID8020620	fold1
DTXSID8022292	fold1
DTXSID8022325	fold2
DTXSID8022406	fold3
DTXSID8023848	fold4
DTXSID8024151	fold2
DTXSID8024238	fold1
DTXSID8024280	fold0
DTXSID8024523	fold0
DTXSID8033562	fold4
DTXSID8041248	fold4
DTXSID8044836	fold3
DTXSID9020160	fold1
DTXSID9020374	fold2
DTXSID9020827	fold2
DTXSID9022360	fold1
DTXSID9022364	fold0
DTXSID9022366	fold0
DTXSID9026261	fold2
DTXSID9032379	fold4
DTXSID9033923	fold2
DTXSID9040716	fold2
DTXSID9047598	fold1
