DTXSID	cv_fold
DTXSID0020446	fold0
DTXSID0020814	fold1
DTXSID0021460	fold0
DTXSID0022353	fold2
DTXSID0022436	fold3
DTXSID0028038	fold2
DTXSID0032316	fold0
DTXSID0032520	fold1
DTXSID0032572	fold0
DTXSID0032655	fold4
DTXSID0034192	fold4
DTXSID0047957	fold4
DTXSID1020221	fold3
DTXSID1020510	fold0
DTXSID1020560	fold4
DTXSID1020770	fold4
DTXSID1020855	fold0
DTXSID1021322	fold0
DTXSID1021952	fold4
DTXSID1022394	fold2
DTXSID1022396	fold4
DTXSID1022508	fold1
DTXSID1023998	fold0
DTXSID1024259	fold2
DTXSID1026081	fold1
DTXSID1027926	fold1
DTXSID1029170	fold1
DTXSID1032519	fold3
DTXSID1032648	fold1
DTXSID1033664	fold4
DTXSID1034187	fold0
DTXSID1038298	fold2
DTXSID1047310	fold3
DTXSID2020347	fold2
DTXSID2020420	fold2
DTXSID2020426	fold1
DTXSID2021781	fold3
DTXSID2022179	fold2
DTXSID2022381	fold1
DTXSID2022678	fold2
DTXSID2023270	fold0
DTXSID2023569	fold3
DTXSID2024163	fold0
DTXSID2025680	fold3
DTXSID2032390	fold2
DTXSID2032398	fold1
DTXSID2032500	fold2
DTXSID2037712	fold3
DTXSID2040363	fold1
DTXSID2040733	fold4
DTXSID2045232	fold3
DTXSID3020122	fold1
DTXSID3020205	fold3
DTXSID3020465	fold1
DTXSID3020625	fold4
DTXSID3021770	fold1
DTXSID3021984	fold1
DTXSID3021986	fold0
DTXSID3022320	fold4
DTXSID3022405	fold3
DTXSID3022409	fold2
DTXSID3022536	fold3
DTXSID3024102	fold1
DTXSID3024104	fold2
DTXSID3024154	fold0
DTXSID3024239	fold1
DTXSID3024289	fold2
DTXSID3027403	fold1
DTXSID3031864	fold1
DTXSID3034165	fold2
DTXSID3036496	fold1
DTXSID3037094	fold0
DTXSID3047425	fold1
DTXSID3047477	fold1
DTXSID4020373	fold1
DTXSID4020375	fold2
DTXSID4020379	fold4
DTXSID4020618	fold1
DTXSID4021395	fold3
DTXSID4022361	fold0
DTXSID4022367	fold4
DTXSID4022446	fold2
DTXSID4022448	fold4
DTXSID4022525	fold3
DTXSID4022527	fold4
DTXSID4024270	fold2
DTXSID4024276	fold2
DTXSID4024359	fold2
DTXSID4025082	fold1
DTXSID4032613	fold0
DTXSID4034497	fold4
DTXSID4047882	fold4
DTXSID5020154	fold2
DTXSID5020366	fold3
DTXSID5020576	fold4
DTXSID5020607	fold3
DTXSID5021126	fold2
DTXSID5021209	fold2
DTXSID5022308	fold2
DTXSID5022489	fold4
DTXSID5024059	fold0
DTXSID5024211	fold1
DTXSID5031131	fold3
DTXSID5032498	fold1
DTXSID5032573	fold2
DTXSID5035957	fold0
DTXSID5041306	fold3
DTXSID5048184	fold3
DTXSID5048186	fold3
DTXSID6020220	fold4
DTXSID6020307	fold2
DTXSID6020511	fold0
DTXSID6022345	fold1
DTXSID6022391	fold4
DTXSID6024254	fold0
DTXSID6027345	fold4
DTXSID6028022	fold0
DTXSID6032352	fold0
DTXSID6032562	fold3
DTXSID6034186	fold4
DTXSID6040747	fold4
DTXSID6041422	fold0
DTXSID6043915	fold4
DTXSID7020182	fold3
DTXSID7020392	fold3
DTXSID7020768	fold4
DTXSID7020970	fold1
DTXSID7021152	fold1
DTXSID7022332	fold1
DTXSID7024245	fold0
DTXSID7025429	fold0
DTXSID7027047	fold1
DTXSID7027756	fold0
DTXSID7029611	fold4
DTXSID7032004	fold2
DTXSID7032553	fold3
DTXSID7032638	fold2
DTXSID7034545	fold1
DTXSID7034674	fold4
DTXSID7037717	fold3
DTXSID7041544	fold0
DTXSID7041889	fold4
DTXSID7047433	fold4
DTXSID8020337	fold0
DTXSID8020620	fold0
DTXSID8021771	fold3
DTXSID8022080	fold1
DTXSID8022111	fold0
DTXSID8022292	fold0
DTXSID8022325	fold2
DTXSID8022406	fold3
DTXSID8023216	fold3
DTXSID8023719	fold3
DTXSID8023848	fold4
DTXSID8024151	fold2
DTXSID8024238	fold3
DTXSID8024280	fold3
DTXSID8024523	fold4
DTXSID8031865	fold1
DTXSID8032386	fold3
DTXSID8033562	fold2
DTXSID8034324	fold2
DTXSID8041248	fold4
DTXSID8044836	fold3
DTXSID9020160	fold0
DTXSID9020299	fold2
DTXSID9020372	fold1
DTXSID9020374	fold2
DTXSID9020827	fold2
DTXSID9022310	fold2
DTXSID9022360	fold3
DTXSID9022364	fold4
DTXSID9022366	fold4
DTXSID9023380	fold1
DTXSID9024986	fold2
DTXSID9026261	fold0
DTXSID9026265	fold3
DTXSID9032113	fold4
DTXSID9032379	fold0
DTXSID9032531	fold3
DTXSID9032589	fold1
DTXSID9033923	fold0
DTXSID9036515	fold4
DTXSID9040716	fold1
DTXSID9041653	fold0
DTXSID9047540	fold0
DTXSID9047592	fold1
DTXSID9047598	fold2
DTXSID9048196	fold3
