DTXSID	split	cv_fold_C1e
DTXSID0020151	train	fold3
DTXSID0020319	train	fold1
DTXSID0020365	train	fold0
DTXSID0020440	train	fold1
DTXSID0020442	train	fold1
DTXSID0020573	train	fold0
DTXSID0020814	test	
DTXSID0021094	train	fold2
DTXSID0021125	train	fold3
DTXSID0021127	train	fold4
DTXSID0021206	test	
DTXSID0021333	train	fold2
DTXSID0021339	test	
DTXSID0021385	train	fold4
DTXSID0021389	train	fold3
DTXSID0021460	train	fold0
DTXSID0021464	train	fold2
DTXSID0021626	train	fold0
DTXSID0021832	train	fold0
DTXSID0021961	train	fold3
DTXSID0021969	train	fold1
DTXSID0022018	test	
DTXSID0022353	train	fold4
DTXSID0022436	train	fold2
DTXSID0022480	train	fold0
DTXSID0022777	train	fold1
DTXSID0023113	train	fold1
DTXSID0023371	train	fold1
DTXSID0023581	train	fold0
DTXSID0023878	train	fold2
DTXSID0023907	train	fold2
DTXSID0023951	train	fold3
DTXSID0024266	train	fold0
DTXSID0024638	train	fold4
DTXSID0025101	train	fold0
DTXSID0025234	train	fold3
DTXSID0025523	train	fold0
DTXSID0025571	train	fold0
DTXSID0025737	train	fold1
DTXSID0025812	train	fold2
DTXSID0025864	train	fold2
DTXSID0025991	train	fold0
DTXSID0026098	train	fold1
DTXSID0026171	train	fold4
DTXSID0026252	train	fold4
DTXSID0026838	train	fold2
DTXSID0026915	test	
DTXSID0027014	test	
DTXSID0027721	train	fold2
DTXSID0027771	train	fold2
DTXSID0027773	test	
DTXSID0028038	train	fold2
DTXSID0029262	train	fold3
DTXSID0032029	train	fold4
DTXSID0032316	train	fold0
DTXSID0032493	train	fold0
DTXSID0032497	train	fold1
DTXSID0032520	train	fold1
DTXSID0032601	train	fold0
DTXSID0032651	train	fold3
DTXSID0034192	test	
DTXSID0034300	train	fold1
DTXSID0034518	train	fold3
DTXSID0034776	train	fold0
DTXSID0034803	train	fold0
DTXSID0037237	train	fold1
DTXSID0037495	train	fold1
DTXSID0037522	train	fold3
DTXSID0037730	train	fold1
DTXSID0037734	train	fold2
DTXSID0038887	train	fold3
DTXSID0039223	test	
DTXSID0040707	train	fold2
DTXSID0041274	train	fold4
DTXSID0041357	train	fold2
DTXSID0041359	train	fold0
DTXSID0041567	train	fold2
DTXSID0041985	train	fold0
DTXSID0042084	train	fold3
DTXSID0042086	train	fold2
DTXSID0042169	train	fold3
DTXSID0042248	train	fold0
DTXSID0042379	train	fold4
DTXSID0044367	test	
DTXSID0044525	train	fold3
DTXSID0044571	train	fold0
DTXSID0044860	train	fold0
DTXSID0044862	train	fold2
DTXSID0044993	train	fold2
DTXSID0046989	train	fold1
DTXSID0047111	train	fold4
DTXSID0047163	train	fold3
DTXSID0047246	train	fold3
DTXSID0047290	train	fold1
DTXSID0047294	train	fold4
DTXSID0047325	train	fold4
DTXSID0047371	train	fold4
DTXSID0047377	train	fold4
DTXSID0047379	train	fold4
DTXSID0047533	train	fold4
DTXSID0047741	train	fold2
DTXSID0047957	train	fold4
DTXSID0048183	train	fold0
DTXSID0048185	train	fold4
DTXSID0048189	train	fold4
DTXSID0048507	train	fold0
DTXSID1020063	train	fold1
DTXSID1020069	train	fold0
DTXSID1020142	train	fold4
DTXSID1020148	train	fold4
DTXSID1020221	train	fold2
DTXSID1020223	train	fold0
DTXSID1020433	train	fold1
DTXSID1020439	train	fold1
DTXSID1020485	train	fold1
DTXSID1020510	train	fold2
DTXSID1020560	test	
DTXSID1020699	train	fold2
DTXSID1020770	train	fold2
DTXSID1020807	train	fold4
DTXSID1020855	train	fold0
DTXSID1020930	train	fold4
DTXSID1021031	train	fold3
DTXSID1021166	train	fold2
DTXSID1021243	train	fold4
DTXSID1021247	train	fold2
DTXSID1021299	train	fold4
DTXSID1021322	train	fold2
DTXSID1021372	train	fold2
DTXSID1021790	train	fold1
DTXSID1021871	train	fold0
DTXSID1021952	train	fold4
DTXSID1021956	train	fold4
DTXSID1022053	train	fold1
DTXSID1022217	train	fold3
DTXSID1022267	test	
DTXSID1022394	test	
DTXSID1022396	test	
DTXSID1022479	train	fold1
DTXSID1022508	train	fold2
DTXSID1023817	test	
DTXSID1023869	train	fold1
DTXSID1023990	train	fold1
DTXSID1023998	train	fold4
DTXSID1024091	train	fold2
DTXSID1024124	train	fold3
DTXSID1024126	test	
DTXSID1025017	train	fold2
DTXSID1025148	train	fold0
DTXSID1025221	train	fold2
DTXSID1025485	train	fold3
DTXSID1025560	test	
DTXSID1025805	train	fold2
DTXSID1025809	train	fold2
DTXSID1025857	train	fold1
DTXSID1025930	train	fold3
DTXSID1026031	test	
DTXSID1026081	train	fold2
DTXSID1026900	test	
DTXSID1027134	train	fold2
DTXSID1027390	train	fold4
DTXSID1027429	test	
DTXSID1027479	train	fold0
DTXSID1027500	test	
DTXSID1027633	train	fold3
DTXSID1027635	test	
DTXSID1027926	train	fold4
DTXSID1032484	train	fold0
DTXSID1032513	train	fold0
DTXSID1032569	train	fold3
DTXSID1032640	train	fold4
DTXSID1032642	train	fold3
DTXSID1032646	train	fold1
DTXSID1032648	train	fold3
DTXSID1033161	test	
DTXSID1033371	test	
DTXSID1033664	test	
DTXSID1034181	train	fold4
DTXSID1034187	train	fold4
DTXSID1034212	train	fold2
DTXSID1035783	train	fold2
DTXSID1036541	test	
DTXSID1038298	train	fold2
DTXSID1038666	train	fold3
DTXSID1040112	train	fold2
DTXSID1040320	train	fold1
DTXSID1040372	train	fold0
DTXSID1040611	train	fold3
DTXSID1040619	train	fold3
DTXSID1040742	test	
DTXSID1040792	train	fold1
DTXSID1041188	train	fold3
DTXSID1041267	train	fold2
DTXSID1041502	train	fold3
DTXSID1041681	train	fold1
DTXSID1041683	train	fold0
DTXSID1041970	train	fold4
DTXSID1041978	train	fold0
DTXSID1042154	train	fold3
DTXSID1042441	train	fold3
DTXSID1042499	train	fold4
DTXSID1044481	test	
DTXSID1044487	test	
DTXSID1044514	train	fold4
DTXSID1044851	train	fold4
DTXSID1044936	test	
DTXSID1044982	train	fold1
DTXSID1046970	train	fold0
DTXSID1047102	train	fold4
DTXSID1047108	test	
DTXSID1047281	train	fold0
DTXSID1047283	train	fold0
DTXSID1047310	train	fold4
DTXSID1047360	train	fold1
DTXSID1047362	train	fold3
DTXSID1047366	train	fold4
DTXSID1047368	train	fold4
DTXSID1047447	train	fold3
DTXSID1048170	train	fold4
DTXSID1048174	train	fold3
DTXSID1048178	train	fold4
DTXSID1048209	train	fold3
DTXSID2020137	train	fold2
DTXSID2020212	train	fold3
DTXSID2020266	train	fold2
DTXSID2020420	train	fold3
DTXSID2020688	train	fold2
DTXSID2020894	train	fold3
DTXSID2021028	train	fold4
DTXSID2021105	train	fold1
DTXSID2021151	train	fold4
DTXSID2021367	train	fold4
DTXSID2021575	test	
DTXSID2021577	test	
DTXSID2021650	test	
DTXSID2021735	test	
DTXSID2021781	train	fold4
DTXSID2021864	train	fold0
DTXSID2021947	test	
DTXSID2021993	train	fold2
DTXSID2021995	train	fold3
DTXSID2022048	test	
DTXSID2022123	test	
DTXSID2022127	train	fold4
DTXSID2022171	test	
DTXSID2022331	train	fold1
DTXSID2022381	train	fold0
DTXSID2022678	train	fold0
DTXSID2022880	test	
DTXSID2023016	test	
DTXSID2023224	train	fold1
DTXSID2023430	train	fold3
DTXSID2023569	train	fold4
DTXSID2023723	test	
DTXSID2023775	train	fold3
DTXSID2024086	test	
DTXSID2024163	train	fold3
DTXSID2024242	train	fold0
DTXSID2024458	train	fold2
DTXSID2024585	train	fold1
DTXSID2025395	train	fold4
DTXSID2025478	test	
DTXSID2025505	train	fold2
DTXSID2025680	train	fold2
DTXSID2025842	test	
DTXSID2025892	train	fold2
DTXSID2026232	train	fold1
DTXSID2026496	train	fold3
DTXSID2026523	train	fold2
DTXSID2026525	train	fold3
DTXSID2026529	train	fold3
DTXSID2026739	test	
DTXSID2026943	test	
DTXSID2027204	test	
DTXSID2027206	test	
DTXSID2027466	test	
DTXSID2029246	test	
DTXSID2029298	test	
DTXSID2029874	train	fold3
DTXSID2032344	train	fold3
DTXSID2032348	train	fold0
DTXSID2032390	train	fold1
DTXSID2032398	train	fold1
DTXSID2032421	test	
DTXSID2032550	train	fold3
DTXSID2032554	train	fold1
DTXSID2032558	train	fold0
DTXSID2033314	train	fold3
DTXSID2034598	train	fold1
DTXSID2034700	train	fold1
DTXSID2035481	train	fold3
DTXSID2036112	train	fold2
DTXSID2036588	train	fold2
DTXSID2036827	train	fold1
DTXSID2037712	train	fold2
DTXSID2037714	train	fold2
DTXSID2038732	test	
DTXSID2038788	test	
DTXSID2040363	train	fold0
DTXSID2040787	train	fold2
DTXSID2041206	train	fold4
DTXSID2041622	train	fold4
DTXSID2041759	test	
DTXSID2042220	train	fold0
DTXSID2042276	train	fold1
DTXSID2044391	train	fold1
DTXSID2044395	test	
DTXSID2044507	train	fold4
DTXSID2044844	test	
DTXSID2044890	train	fold1
DTXSID2044971	train	fold4
DTXSID2045072	train	fold1
DTXSID2045076	train	fold2
DTXSID2045232	train	fold1
DTXSID2047191	train	fold3
DTXSID2047272	train	fold4
DTXSID2047278	train	fold0
DTXSID2047303	train	fold0
DTXSID2047307	train	fold4
DTXSID2047351	train	fold4
DTXSID2047353	train	fold4
DTXSID2047357	train	fold4
DTXSID2047569	train	fold3
DTXSID3020043	train	fold0
DTXSID3020122	train	fold0
DTXSID3020205	train	fold4
DTXSID3020207	train	fold1
DTXSID3020209	train	fold4
DTXSID3020257	train	fold1
DTXSID3020415	test	
DTXSID3020465	train	fold3
DTXSID3020625	test	
DTXSID3020679	test	
DTXSID3020704	train	fold2
DTXSID3020706	train	fold1
DTXSID3020910	test	
DTXSID3020960	train	fold1
DTXSID3020964	train	fold1
DTXSID3021148	train	fold4
DTXSID3021643	test	
DTXSID3021770	train	fold2
DTXSID3022162	train	fold1
DTXSID3022320	train	fold3
DTXSID3022370	test	
DTXSID3022409	train	fold1
DTXSID3022455	train	fold4
DTXSID3022536	train	fold2
DTXSID3022667	test	
DTXSID3023556	train	fold0
DTXSID3023685	train	fold1
DTXSID3023897	train	fold0
DTXSID3023899	train	fold1
DTXSID3024154	train	fold0
DTXSID3024239	train	fold0
DTXSID3024869	train	fold2
DTXSID3025049	train	fold3
DTXSID3025091	train	fold1
DTXSID3025540	train	fold3
DTXSID3025881	train	fold4
DTXSID3026560	train	fold1
DTXSID3026564	train	fold2
DTXSID3026691	test	
DTXSID3026697	train	fold2
DTXSID3026726	test	
DTXSID3027320	train	fold1
DTXSID3027403	test	
DTXSID3029572	train	fold0
DTXSID3029653	test	
DTXSID3031860	test	
DTXSID3031864	test	
DTXSID3032389	test	
DTXSID3032464	train	fold3
DTXSID3032549	train	fold1
DTXSID3032622	train	fold0
DTXSID3032628	train	fold3
DTXSID3032751	train	fold2
DTXSID3033307	train	fold3
DTXSID3034113	test	
DTXSID3034165	train	fold1
DTXSID3034612	train	fold0
DTXSID3034618	train	fold0
DTXSID3034872	train	fold4
DTXSID3035266	train	fold2
DTXSID3036286	test	
DTXSID3036288	test	
DTXSID3036496	test	
DTXSID3037094	train	fold4
DTXSID3037208	train	fold1
DTXSID3037709	test	
DTXSID3037757	test	
DTXSID3038800	train	fold2
DTXSID3038808	test	
DTXSID3038939	test	
DTXSID3040722	test	
DTXSID3040728	train	fold3
DTXSID3040776	test	
DTXSID3041293	train	fold1
DTXSID3041405	train	fold1
DTXSID3041409	train	fold3
DTXSID3041617	train	fold3
DTXSID3041619	train	fold0
DTXSID3041665	train	fold2
DTXSID3041794	train	fold1
DTXSID3042180	train	fold3
DTXSID3042261	train	fold3
DTXSID3042477	train	fold0
DTXSID3042500	train	fold4
DTXSID3042633	train	fold4
DTXSID3044205	train	fold0
DTXSID3044544	train	fold3
DTXSID3044590	train	fold3
DTXSID3044623	test	
DTXSID3044833	train	fold3
DTXSID3044962	train	fold1
DTXSID3044966	train	fold2
DTXSID3047132	test	
DTXSID3047138	train	fold2
DTXSID3047342	train	fold4
DTXSID3047344	train	fold1
DTXSID3047425	train	fold2
DTXSID3047429	test	
DTXSID3047477	test	
DTXSID3047504	train	fold4
DTXSID3047558	train	fold0
DTXSID3047681	test	
DTXSID3047683	train	fold4
DTXSID4020119	train	fold1
DTXSID4020161	train	fold4
DTXSID4020240	test	
DTXSID4020290	train	fold0
DTXSID4020296	train	fold2
DTXSID4020373	train	fold0
DTXSID4020375	train	fold0
DTXSID4020379	test	
DTXSID4020450	train	fold1
DTXSID4020458	train	fold3
DTXSID4020618	train	fold1
DTXSID4020666	test	
DTXSID4020791	train	fold2
DTXSID4020822	train	fold4
DTXSID4020828	train	fold0
DTXSID4020870	train	fold3
DTXSID4020957	train	fold1
DTXSID4021135	train	fold2
DTXSID4021185	test	
DTXSID4021218	test	
DTXSID4021268	train	fold1
DTXSID4021395	train	fold1
DTXSID4021478	test	
DTXSID4021553	test	
DTXSID4021559	train	fold3
DTXSID4021715	train	fold0
DTXSID4021717	train	fold0
DTXSID4021894	test	
DTXSID4021923	test	
DTXSID4021975	train	fold4
DTXSID4021977	train	fold0
DTXSID4022070	train	fold2
DTXSID4022153	test	
DTXSID4022311	test	
DTXSID4022361	train	fold0
DTXSID4022367	train	fold0
DTXSID4022369	train	fold0
DTXSID4022442	train	fold2
DTXSID4022446	train	fold1
DTXSID4022448	train	fold0
DTXSID4022523	train	fold4
