DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,TOXCAST ACTIVE,TOXCAST TOTAL,% TOXCAST ACTIVE,HIT CALL,CONTINUOUS HIT CALL,TOP,SCALED TOP,AC50,LOGAC50
DTXSID6032358,Cymoxanil,57966-95-7,C7H10N4O3,198.075290,41,742,6,Inactive,-0.2599424641081204,24.402137416711835,0.991179335110617,25,1.3979400086720377
DTXSID0044367,Tetradonium bromide,1119-97-7,C17H38BrN,335.218763,290,465,62,Inactive,-0.1504817499603759,24.038079569656503,0.9763918347935758,7.355048676284642,0.8665855512677456
DTXSID6027052,"2,6-Di-tert-butylphenol",128-39-2,C14H22O,206.167065,82,590,14,Inactive,-0.13762216949107567,18.164261294158422,0.737805878430525,0.06503276051998169,-1.186867810606129
DTXSID2047272,CJ-013610,249296-43-3,C23H27N3O5S2,489.139213,239,639,37,Inactive,-0.10514920149629764,22.707930266274133,0.9223631044569673,9.853194950083402,0.99357707559475
DTXSID1032640,Pyriproxyfen,95737-68-1,C20H19NO3,321.136493,104,705,15,Inactive,-0.08083985568686936,21.35910703568582,0.8675758663537723,25,1.3979400086720377
DTXSID8027795,"3,4,5,6-Tetrachloropyridine-2-carbonitrile",17824-83-8,C6Cl4N2,239.881559,156,329,47,Inactive,-0.0410103812963506,19.60323528295993,0.7962549092307926,0.3540497111624589,-0.4509357555792192
DTXSID7020716,Hydroquinone,123-31-9,C6H6O2,110.036779,121,627,19,Inactive,-0.03938889671010374,14.2315689056408,0.5780656327184455,25,1.3979400086720377
DTXSID0021339,Thiotepa,52-24-4,C6H12N3PS,189.048956,30,451,7,Inactive,-0.026352811393805287,19.699684979962548,0.8001725556612731,0.5671993844268483,-0.2462642491581494
DTXSID9032327,Bendiocarb,22781-23-3,C11H13NO4,223.084458,63,665,9,Inactive,-0.02393042264841228,17.390839629876186,0.706390615174184,0.1323073610111433,-0.8784159928677542
DTXSID4024270,Prochloraz,67747-09-5,C15H16Cl3N3O2,375.030810,325,853,38,Inactive,-0.02276949273883145,21.88581714265777,0.8889700649319248,25,1.3979400086720377
DTXSID6024917,Diacetone alcohol,123-42-2,C6H12O2,116.083730,19,584,3,Inactive,-0.014553663137366965,19.394874924566288,0.787791614480449,10.601973460233332,1.0253867127286795
DTXSID9021427,Urethane,51-79-6,C3H7NO2,89.047678,1,592,0,Inactive,-0.013271347216371614,20.16593565519985,0.8191109800453636,0.1533377858606337,-0.8143508120818151
DTXSID4024274,Propachlor,1918-16-7,C11H14ClNO,211.076392,225,478,47,Inactive,-0.010423883338676623,13.924601697790074,0.5655970711419553,0.08071448995206526,-1.0930484932663245
DTXSID5047035,(2E)-2-Decenal,3913-81-3,C10H18O,154.135765,11,247,4,Inactive,-0.010335632645934055,19.39127632547394,0.7876454446185729,4.960629928769305,0.6955368291550652
DTXSID6020197,Bromocriptine mesylate,22260-51-1,C33H44BrN5O8S,749.209398,75,366,20,Inactive,-0.009462570699530885,20.90069607423613,0.8489558797428474,10,1
DTXSID9044322,Dodecylamine hydrochloride,929-73-7,C12H28ClN,221.191028,129,247,52,Inactive,-0.008111034667365475,14.754186332636088,0.5992935925877171,25,1.3979400086720377
DTXSID0047741,Dibenzothiophene,132-65-0,C12H8S,184.034671,18,471,4,Inactive,-0.005211849757694191,8.796754300330695,0.35731136701828053,25.000000000000004,1.3979400086720377
DTXSID4042090,Lauryldiethanolamine,1541-67-9,C16H35NO2,273.266779,131,247,53,Inactive,-0.004795156016575954,19.211449800214282,0.7803411526748659,40.99647362139637,1.6127465017774565
DTXSID0025571,"2-Methyl-1,3-benzenediol",608-25-3,C7H8O2,124.052429,10,440,2,Inactive,-0.004601527767928998,18.00305157947099,0.7312577742588049,0.757372200446462,-0.12069063982025344
DTXSID1025809,Oleic acid,112-80-1,C18H34O2,282.255880,33,374,9,Inactive,-0.003025066023923787,5.020987720025017,0.20394521942674868,25,1.3979400086720377
DTXSID2032398,Fludioxonil,131341-86-1,C12H6F2N2O2,248.039734,234,746,31,Inactive,-0.002928756966034239,20.965508702945822,0.8515884744674083,25,1.3979400086720377
DTXSID5020233,Ergocalciferol,50-14-6,C28H44O,396.339216,111,397,28,Inactive,-0.002812990703333371,15.147588233534764,0.6152730056983472,0.019253621731398638,-1.715487564855952
DTXSID1032646,N-Ethylperfluorooctane sulfonamide,4151-50-2,C10H6F17NO2S,526.984778,211,774,27,Inactive,-0.0026742114354033316,5.506373155401138,0.22366086994099404,24.15,1.382917135087531
DTXSID6034972,Thymol,89-83-8,C10H14O,150.104465,26,618,4,Inactive,-0.002636602775836826,18.46488074277054,0.7500166032579583,39.962336792915366,1.6016508756149086
DTXSID0026171,Tolyltriazole,29385-43-1,C7H7N3, ,12,365,3,Inactive,-0.002235367349337088,15.718086470172926,0.6384458144247472,25,1.3979400086720377
DTXSID1021166,Piperonyl butoxide,51-03-6,C19H30O5,338.209324,120,715,17,Inactive,-0.002233279151614583,15.551370250662352,0.6316740440349339,25,1.3979400086720377
DTXSID3034612,Fluazifop-butyl,69806-50-4,C19H20F3NO4,383.134443,23,662,3,Inactive,-0.0019459532357070297,13.190389596495129,0.5357744433137347,25,1.3979400086720377
DTXSID6021959,"2,4,6-Tribromophenol",118-79-6,C6H3Br3O,327.773404,84,489,17,Inactive,-0.0015145713299674897,22.002218513114734,0.8936981193234422,0.11738776832417304,-0.9303771537363303
DTXSID4024195,2-(4-Chloro-2-methylphenoxy)acetic acid,94-74-6,C9H9ClO3,200.024022,22,660,3,Inactive,-0.0015079871193841325,14.663137839353006,0.5955953351976352,46.70863114202795,1.6693971399023233
DTXSID8031865,Perfluorooctanoic acid,335-67-1,C8HF15O2,413.973702,97,959,10,Inactive,-0.0011396293667856633,10.71830855591927,0.4353621064641165,25,1.3979400086720377
DTXSID7021784,Salicylanilide,87-17-2,C13H11NO2,213.078979,64,333,19,Inactive,-0.0011330905874512777,20.1808172264054,0.81971544782624,6.8368722940342534,0.8348574677873842
DTXSID7029879,Ketoconazole,65277-42-1,C26H28Cl2N4O4,530.148761,359,640,56,Inactive,-0.0010144475910147158,4.965253303813085,0.2016813684918757,25,1.3979400086720377
DTXSID8024159,Isoxaben,82558-50-7,C18H24N2O4,332.173607,105,687,15,Inactive,-0.0009236345795353293,11.007872202819147,0.4471237607038745,25,1.3979400086720377
DTXSID3021148,Phenylhydrazine hydrochloride,59-88-1,C6H9ClN2,144.045426,13,247,5,Inactive,-0.0008382889137805361,3.2351105264329965,0.1314054849311351,25,1.3979400086720377
DTXSID9024691,Butyl glycidyl ether,2426-08-6,C7H14O2,130.099380,18,369,5,Inactive,-0.0007790153712599907,3.9781391094936875,0.1615862254273305,25,1.3979400086720377
DTXSID5034723,Isoxaflutole,141112-29-0,C15H12F3NO4S,359.043914,24,715,3,Inactive,-0.000715307171384744,11.371842357698439,0.461907699092251,25,1.3979400086720377
DTXSID9021390,"1,2,3-Trichloropropane",96-18-4,C3H5Cl3,145.945683,7,610,1,Inactive,-0.0005639887155041305,1.512033946342973,0.06141662002831465,25,1.3979400086720377
DTXSID7024291,Quinalphos,13593-03-8,C12H15N2O3PS,298.054101,35,252,14,Inactive,-0.0005023423412580994,11.815225382059202,0.479917272752969,25,1.3979400086720377
DTXSID0044525,Phenylmercuric lactate,122-64-5,C9H10HgO3,368.033637,154,247,62,Inactive,-0.00045671669182642256,17.860680245093604,0.7254748576996044,4.960685315143074,0.6955416781082351
DTXSID7044893,2-Hexyldecanoic acid,25354-97-6,C16H32O2,256.240230,36,247,15,Inactive,-0.000434323077949192,3.038996364977658,0.12343961289141968,25,1.3979400086720377
DTXSID1022053,"4,6-Dinitro-o-cresol",534-52-1,C7H6N2O5,198.027671,224,641,35,Inactive,-0.00040994448429754356,5.976011634514586,0.24273690199182715,25,1.3979400086720377
DTXSID8044913,N-[3-(Dimethylamino)propyl]dodecanamide,3179-80-4,C17H36N2O,284.282764,167,329,51,Inactive,-0.0003697702492230125,10.689353013023675,0.4341859744202339,25,1.3979400086720377
DTXSID2047357,Surinabant,288104-79-0,C23H23BrCl2N4O,520.043230,261,667,39,Inactive,-0.00030145639755905883,8.139218146668693,0.33060320467707704,0.0022900000515175744,-2.6401645078898945
DTXSID3042500,Triphenyltin fluoride,379-52-2,C18H15FSn,370.017981,201,329,61,Inactive,-0.000298155024376047,9.499419251953627,0.385852595504199,25,1.3979400086720377
DTXSID5047295,UK-373911,291305-06-1,C17H18Cl2N2O2S,384.046604,293,618,47,Inactive,-0.0002972510604121372,17.27689265658441,0.7017622548262145,0.13343403893012903,-0.8747333680670834
DTXSID1032569,Pirimicarb,23103-98-2,C11H18N4O2,238.142976,36,679,5,Inactive,-0.00027279420112947763,21.4288351301652,0.8704081201495922,15.914820551636824,1.2018017460752572
DTXSID0034518,Desmedipham,13684-56-5,C16H16N2O4,300.111007,35,379,9,Inactive,-0.0002655396612001979,13.448692512127822,0.5462663321102714,25,1.3979400086720377
DTXSID7047279,CP-532623,261947-38-0,C27H27F9N2O3,598.187796,41,608,7,Inactive,-0.0002577404691456339,2.9655131120044107,0.12045483001851007,25,1.3979400086720377
DTXSID2024163,Linuron,330-55-2,C9H10Cl2N2O2,248.011933,128,799,16,Inactive,-0.0002226872936974554,2.5273596710321455,0.10265767442992234,25,1.3979400086720377
DTXSID5020029,Acrylonitrile,107-13-1,C3H3N,53.026549,5,367,1,Inactive,-0.00021979501906111497,2.349507679116015,0.09543358515916849,25.000000000000004,1.3979400086720377
DTXSID7034676,Isazofos,42509-80-8,C9H17ClN3O3PS,313.041677,94,688,14,Inactive,-0.00021543945829202534,11.775929322927835,0.47832112397726295,0.6066070516184362,-0.21709254545764167
DTXSID0041985,Fluorosalan,4776-06-1,C14H8Br2F3NO2,436.887389,155,333,47,Inactive,-0.0002035334936608671,12.972127796307069,0.5269089663968525,4.960644866604555,0.6955381369344694
DTXSID0042084,"N-(1,1-Dimethylethyl)-, 3-[[(dimethylamino)carbonyl]amino]phenyl ester",4849-32-5,C14H21N3O3,279.158292,5,247,2,Inactive,-0.000163220379316952,8.05284428163972,0.3270948238886089,24.999999999999996,1.3979400086720375
DTXSID3020960,5-Nitroacenaphthene,602-87-9,C12H9NO2,199.063329,39,448,9,Inactive,-0.00014072241325618963,15.133789592294061,0.6147125249577944,43.01713318593365,1.633641464093849
DTXSID6020226,Cadmium chloride,10108-64-2,CdCl2,183.841070,244,428,57,Inactive,-0.0001232544433968426,9.571953004440697,0.3887988110481691,25,1.3979400086720377
DTXSID7020057,1-Amino-2-methylanthraquinone,82-28-0,C15H11NO2,237.078979,87,459,19,Inactive,-0.0001203469063991937,16.862590595935444,0.6849339076205404,6.782284038618923,0.831375973855774
DTXSID1042441,Terbucarb,1918-11-2,C17H27NO2,277.204179,5,247,2,Inactive,-0.00011401627316146864,5.64975175631459,0.22948470020207432,25,1.3979400086720377
DTXSID9024772,4-Chlorobenzoic acid,74-11-3,C7H5ClO2,155.997807,1,252,0,Inactive,-0.00011290187240601215,7.215324167079706,0.2930759747970189,25,1.3979400086720377
DTXSID7029162,"3-Bromo-1-chloro-5,5-dimethylhydantoin",126-06-7,C5H6BrClN2O2,239.930118,15,364,4,Inactive,-0.00011152143024838518,11.681458974413738,0.4744838758039229,25,1.3979400086720377
DTXSID0021385,Folpet,133-07-3,C9H4Cl3NO2S,294.902833,179,710,25,Inactive,-0.00009206854164424791,1.0951814861639806,0.04448467930264383,25,1.3979400086720377
DTXSID0034776,Tolclofos-methyl,57018-04-9,C9H11Cl2O3PS,299.954358,48,442,11,Inactive,-0.00007714009844541544,11.842616046965425,0.4810298417286439,4.039686060773478,0.6063476157612431
DTXSID7024873,Cyanuric acid,108-80-5,C3H3N3O3,129.017441,7,589,1,Inactive,-0.00007405961355642294,13.808029429902012,0.5608620751453138,24.85,1.395326393069351
DTXSID5047297,CP-085958,134002-60-1,C25H20FNO5S,465.104622,81,600,14,Inactive,-0.00007107933117689988,7.3888467783724545,0.30012421092284347,25,1.3979400086720377
DTXSID0023907,Benzo(b)fluoranthene,205-99-2,C20H12,252.093900,162,634,26,Inactive,-0.00006563039584121131,4.060287467300835,0.16492297225738295,25.000000000000004,1.3979400086720377
DTXSID2027466,"3,4-Epoxycyclohexylmethyl 3,4-epoxycyclohexanecarboxylate",2386-87-0,C14H20O4,252.136159,12,358,3,Inactive,-0.000060635486098227,3.7315160668300305,0.1515687560853658,25,1.3979400086720377
DTXSID3020122,Azinphos-methyl,86-50-0,C10H12N3O3PS2,317.005771,176,835,21,Inactive,-0.000057161677720299175,4.787734383480647,0.1944708081044828,25.000000000000004,1.3979400086720377
DTXSID8020464,Diethyl maleate,141-05-9,C8H12O4,172.073559,13,456,3,Inactive,-0.000054555420861642576,3.5256868920086837,0.14320827433076053,25,1.3979400086720377
DTXSID3021643,Octanal,124-13-0,C8H16O,128.120115,13,596,2,Inactive,-0.000054535016306649755,2.809832696873659,0.11413131795381011,25,1.3979400086720377
DTXSID2036827,"3,3'-Diaminobenzidine",91-95-2,C12H14N4,214.121846,67,445,15,Inactive,-0.00004634005267954618,9.128264947737641,0.37077684741729977,25,1.3979400086720377
DTXSID0032651,Thidiazuron,51707-55-2,C9H8N4OS,220.041882,155,700,22,Inactive,-0.000038883765138381866,7.046080710660519,0.2862015517192065,25,1.3979400086720377
DTXSID1024124,Thifensulfuron methyl,79277-27-3,C12H13N5O6S2,387.030726,2,469,0,Inactive,-0.00003498146990472343,6.59651308265882,0.2679407684525403,25,1.3979400086720377
DTXSID5024687,4-tert-Butylcatechol,98-29-3,C10H14O2,166.099380,153,464,33,Inactive,-0.00003427166688263145,8.40737239991348,0.3414952404811303,0.5852988854184258,-0.2326223029097187
DTXSID8047476,2-Thienyl disulfide,6911-51-9,C8H6S4,229.935235,67,247,27,Inactive,-0.000030939818071366586,15.175493072899572,0.6164064596927926,4.9610861998030416,0.6955767730498059
DTXSID3042180,"N-(3,4-Dichlorophenyl)-N'-methylurea",3567-62-2,C8H8Cl2N2O,218.001368,19,247,8,Inactive,-0.00002764047810864216,2.026782227950246,0.082324946655613,25,1.3979400086720377
DTXSID5020819,Methidathion,950-37-8,C6H11N2O4PS3,301.961857,81,688,12,Inactive,-0.00002470445834576009,2.9145328019621553,0.11838408396260064,25,1.3979400086720377
DTXSID2026496,alpha-Terpinyl acetate,80-26-2,C12H20O2,196.146330,46,467,10,Inactive,-0.000022712422110943335,5.190550320058626,0.21083260565406492,25,1.3979400086720377
DTXSID5044865,"2,2'-(Tetradecylimino)diethanol",18924-66-8,C18H39NO2,301.298079,156,378,41,Inactive,-0.000022121311288964654,5.8922672294181915,0.23933532604193383,25.000000000000004,1.3979400086720377
DTXSID9048194,Heptanophenone,1671-75-6,C13H18O,190.135765,11,360,3,Inactive,-0.000020877695242211116,4.44454850082449,0.18053109662832653,25,1.3979400086720377
DTXSID6047369,SR146131 trifluoroacetate (1:1),221671-62-1,C34H37ClF3N3O7S,723.199284,368,613,60,Inactive,-0.00001938919865433708,6.083593179215924,0.2471067078873639,21.1,1.3242824552976926
DTXSID7047306,CP-634384,290352-28-2,C19H19NO5,341.126323,70,648,11,Inactive,-0.000016037323521102122,1.1229633698711987,0.04561313901708599,25,1.3979400086720377
DTXSID5023035,Etoposide,33419-42-0,C29H32O13,588.184291,74,334,22,Inactive,-0.000014536216562029197,4.852961267627865,0.19712022928248588,22.5,1.3521825181113625
DTXSID0046989,D-Tryptophan,153-94-6,C11H12N2O2,204.089878,3,247,1,Inactive,-0.000014234482884777426,0.39535364094469544,0.01605868995298562,25,1.3979400086720377
DTXSID4041527,"2,2,6,6-Tetramethyl-4-piperidone",826-36-8,C9H17NO,155.131014,1,337,0,Inactive,-0.000012620931594020827,9.768887078815663,0.3967979867583232,25,1.3979400086720377
DTXSID0034566,Emamectin benzoate,155569-91-8,, ,499,841,59,Inactive,-0.00001253723801039799,3.3881375953849115,0.13762122193267373,25,1.3979400086720377
DTXSID0021832,"N,N,4-Trimethylaniline",99-97-8,C9H13N,135.104799,14,587,2,Inactive,-0.000011652443263471424,2.7131413126978665,0.11020385454182834,25,1.3979400086720377
DTXSID7047277,Elzasonan,361343-19-3,C22H23Cl2N3OS,447.093889,292,631,46,Inactive,-0.000011509004485270665,2.484084470804836,0.10089989872955653,25,1.3979400086720377
DTXSID3023899,Benfluralin,1861-40-1,C13H16F3N3O4,335.109290,72,679,11,Inactive,-0.000009659754278052176,10.77117893603534,0.43750962441779395,24.999999999999996,1.3979400086720375
DTXSID4047628,Dicyclohexyl disulfide,2550-40-5,C12H22S2,230.116293,60,595,10,Inactive,-0.000008854878974109137,7.769903404848375,0.3156021769395102,25,1.3979400086720377
DTXSID2047278,CP-457677,214535-77-0,C22H21FN2O3,380.153621,52,619,8,Inactive,-0.000008653095278016491,11.048131561226256,0.44875903729528527,44.9976319485238,1.6531896591364614
DTXSID6032562,Octylbicycloheptenedicarboximide,113-48-4,C17H25NO2,275.188529,183,782,23,Inactive,-0.000008460714352058721,15.873328914671392,0.6447515367592815,25,1.3979400086720377
DTXSID9020790,Malaoxon,1634-78-2,C10H19O7PS,314.058911,42,776,5,Inactive,-0.000008147773568555556,3.1502245706199,0.12795754085122707,25,1.3979400086720377
DTXSID8022111,"N-(3,4-Dichlorophenyl)propanamide",709-98-8,C9H9Cl2NO,217.006119,120,743,16,Inactive,-0.00000810991297366525,10.767389056363546,0.4373556850169501,46.58266977560352,1.6682243754735822
DTXSID1047364,SSR 103800,1075752-90-7,, ,239,651,37,Inactive,-0.0000077706664322544,10.224082794436912,0.41528737475946115,0.1016259021287853,-0.9929955861672287
DTXSID6024175,Metalaxyl,57837-19-1,C15H21NO4,279.147058,28,689,4,Inactive,-0.00000614296267525828,13.307755793988232,0.5405416875763626,43.247666471897865,1.6359626790674495
DTXSID2021151,2-Phenylphenol,90-43-7,C12H10O,170.073165,63,704,9,Inactive,-0.0000059337630116857575,11.788525653106944,0.47883276859095214,11.999788212357487,1.0791735811296124
DTXSID3047429,Dexamethasone sodium phosphate,2392-39-4,C22H28FNa2O8P,516.130122,87,736,12,Inactive,-0.000005686210601763382,11.03256799370114,0.4481268678156999,4.712611323366215,0.6732616224292575
DTXSID5020730,8-Hydroxyquinoline,148-24-3,C9H7NO,145.052764,164,608,27,Inactive,-0.000005210237939236559,3.127816181874046,0.12704734468772197,25,1.3979400086720377
DTXSID6024882,Cycloheximide,66-81-9,C15H23NO4,281.162708,259,632,41,Inactive,-0.000004449722029447182,1.6666718375891145,0.06769778628890986,22.35,1.3492775274679554
DTXSID7041966,Famphur,52-85-7,C10H16NO5PS2,325.020752,28,447,6,Inactive,-0.000003984122218421005,3.177762079413017,0.12907607441204014,25,1.3979400086720377
DTXSID1026900,Alkyl trimethyl ammonium compound C12 chloride (ATMAC C12 Cl),112-00-5,C15H34ClN,263.237978,321,656,49,Inactive,-0.000003855586380365537,0.8605382110332065,0.034953810696313474,25,1.3979400086720377
DTXSID5025861,Phenethyl anthranilate,133-18-6,C15H15NO2,241.110279,80,329,24,Inactive,-0.0000034369962319932743,6.858587653838288,0.2785858564124649,25,1.3979400086720377
DTXSID3032628,Methoxyfenozide,161050-58-4,C22H28N2O3,368.209993,69,669,10,Inactive,-0.000002857052723823059,9.595286481001834,0.389746582933424,25,1.3979400086720377
DTXSID7022411,"4,4'-Methylenebis(2,6-di-t-butylphenol)",118-82-1,C29H44O2,424.334131,10,367,3,Inactive,-0.0000020726675060114165,6.03697376289058,0.24521309499241503,25,1.3979400086720377
DTXSID4032611,Ethoprop,13194-48-4,C8H19O2PS2,242.056409,51,735,7,Inactive,-0.0000018296495540580732,12.77645388118948,0.5189609765231492,13.962645381324952,1.1449677080916865
DTXSID2029246,Triethoxyoctylsilane,2943-75-1,C14H32O3Si,276.212071,45,607,7,Inactive,-0.0000017385488259366515,7.285654252389857,0.2959326805849408,0.938798761799212,-0.027427491872895778
DTXSID2026523,Symclosene,87-90-1,C3Cl3N3O3,230.900524,16,658,2,Inactive,-0.0000017307244958780562,4.012189504242406,0.1629693029443096,25,1.3979400086720377
DTXSID3041405,2-Chloro-4-nitrobenzamide,3011-89-0,C7H5ClN2O3,199.998870,2,329,1,Inactive,-0.0000016507690649636833,4.678561155178869,0.19003635033579866,25,1.3979400086720377
DTXSID6031461,1-Butyl-3-methylimidazolium chloride,79917-90-1,C8H15ClN2,174.092376,2,329,1,Inactive,-0.0000015360552595238272,0.21499474251869136,0.008732773785464143,25,1.3979400086720377
DTXSID7021106,Pentachlorophenol,87-86-5,C6HCl5O,263.847003,258,618,42,Inactive,-0.0000015328640377807864,2.8315574843295686,0.1150137472270434,12.750000000000002,1.105510184769974
DTXSID4044668,"1,1,2-Trimethyl-1H-benzo[e]indole",41532-84-7,C15H15N,209.120449,60,329,18,Inactive,-0.0000015167547774035136,2.1405020237202694,0.08694407938302125,25,1.3979400086720377
DTXSID0021389,Trichlorfon,52-68-6,C4H8Cl3O4P,255.922579,92,711,13,Inactive,-0.0000014952268050504226,4.418592607415382,0.17947680598435115,25,1.3979400086720377
DTXSID5027142,"1,2-Dichloro-4-(trifluoromethyl)benzene",328-84-7,C7H3Cl2F3,213.956390,3,360,1,Inactive,-0.0000013724124896357049,0.4109762364689077,0.01669325706405295,25,1.3979400086720377
DTXSID1040619,Bexarotene,153559-49-0,C24H28O2,348.208930,192,378,51,Inactive,-0.000001140327808190893,1.3154397870566694,0.05343125117474123,25,1.3979400086720377
DTXSID4034948,Tebufenozide,112410-23-8,C22H28N2O2,352.215078,101,670,15,Inactive,-0.0000010241855614710633,14.312061735949511,0.5813351344290587,25,1.3979400086720377
DTXSID0020319,Chlorothalonil,1897-45-6,C8Cl4N2,263.881559,349,748,47,Inactive,-0.0000010069811063138813,8.366467255680227,0.33983373300859415,1.9056196606228313,0.2800362248565652
DTXSID9020792,Maleic hydrazide,123-33-1,C4H4N2O2,112.027277,8,654,1,Inactive,-9.956206503050968e-7,7.980127752945673,0.32414118424091326,0.1052560085336706,-0.9777531031071611
DTXSID5044815,Dibutyl azelate,2917-73-9,C17H32O4,300.230060,7,472,1,Inactive,-9.64559579477414e-7,8.7820429449887,0.35671381315824574,0.08759831728152921,-1.0575042363246763
DTXSID8024151,Imazalil,35554-44-0,C14H14Cl2N2O,296.048318,352,830,42,Inactive,-8.996182307230886e-7,5.6782344747173115,0.23064162680266045,25,1.3979400086720377
DTXSID0032497,Triclopyr,55335-06-3,C7H4Cl3NO3,254.925676,21,656,3,Inactive,-8.169818221473324e-7,2.4076517702850926,0.09779531358653602,25,1.3979400086720377
